499,7,7,5,21,7,0,0,0,0,0,1,3,0,20,0,0,0,5,20,0,0,5,0,0,8,0,0,0
5,451,3,1,21,6,0,0,3,0,2,0,3,0,2,0,0,0,0,0,12,7,40,1,0,0,1,0,1
6,3,566,13,0,4,0,0,0,0,0,2,2,0,20,0,0,0,1,1,0,0,0,0,3,4,0,0,0
23,17,32,416,26,15,0,0,0,0,9,2,7,0,3,0,0,0,0,17,0,0,6,0,0,0,0,0,1
62,17,0,2,419,20,0,0,5,0,0,2,0,0,0,0,0,0,7,4,1,7,43,0,1,3,0,0,1
21,9,8,4,21,494,7,0,9,0,4,0,0,0,0,0,0,0,10,0,0,0,12,0,15,0,0,0,0
1,0,2,0,0,0,524,52,6,16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,2
0,0,0,0,0,0,23,564,0,1,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,3,0,0
1,0,0,0,4,23,1,0,554,0,41,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,42,5,1,505,0,0,0,1,0,22,8,2,0,0,0,0,0,0,0,0,11,0,0
0,0,0,0,0,0,0,0,33,0,531,0,0,0,0,0,0,23,0,0,0,1,0,0,0,1,0,0,3
4,1,0,0,0,9,0,0,0,0,0,507,3,6,36,0,0,1,2,58,0,0,0,0,0,0,0,0,0
2,0,7,0,0,0,1,0,0,3,0,8,384,107,55,0,0,1,8,7,0,2,2,3,0,0,4,0,2
3,0,0,0,0,1,0,0,0,3,0,0,5,551,2,0,0,0,22,4,0,0,0,0,0,2,0,0,2
13,0,0,4,2,1,0,0,2,0,1,7,11,0,522,0,0,0,7,12,0,0,0,0,1,5,0,1,4
0,0,0,0,0,0,3,5,0,3,0,0,0,0,0,503,68,0,0,0,2,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,597,0,7,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,13,1,23,0,0,0,0,0,7,494,7,16,19,9,21,18,0,3,0,0,0
8,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,34,437,57,6,6,2,8,15,0,0,0,15
1,2,0,0,0,2,0,0,0,0,0,19,2,0,11,0,0,0,0,477,0,0,0,16,7,37,0,0,0
5,11,0,0,0,9,0,0,0,0,1,0,1,0,1,0,0,78,6,16,272,151,25,6,7,0,0,0,2
0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,27,3,0,13,427,66,21,9,2,0,1,7
0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,10,4,0,30,77,471,26,0,3,0,0,0
0,0,0,0,0,0,6,0,8,0,3,0,0,0,0,0,0,4,2,17,0,9,3,491,5,16,0,0,0
0,0,0,0,0,3,0,0,0,1,0,0,0,4,0,0,1,0,18,18,0,0,3,36,450,48,9,0,10
0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,13,0,0,0,2,5,568,1,1,0
0,0,0,0,0,0,7,0,0,18,0,0,0,0,0,22,6,0,0,0,0,0,0,0,2,2,535,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,618,1
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,30,2,26,0,517
